family_id,movie_count,titles,years,needs_review
FAM0125,2,Death Game | Knock Knock,"1977, 2015",yes
FAM0126,2,Fun with Dick and Jane,"1977, 2005",no
FAM0127,2,The Goodbye Girl,"1977, 2004",no
FAM0128,2,The Hills Have Eyes,"1977, 2006",no
FAM0129,2,The Man Who Loved Women,"1977, 1983",no
FAM0130,2,Pete's Dragon,"1977, 2016",no
FAM0131,2,Suspiria,"1977, 2018",no
FAM0132,2,Fingers | The Beat That My Heart Skipped,"1978, 2005",yes
FAM0133,2,La Cage aux Folles | The Birdcage,"1978, 1996",yes
FAM0134,2,Dawn of the Dead,"1978, 2004",no
FAM0135,3,Don | Yugandhar,"1978, 1979, 2006",yes
FAM0136,2,Halloween,"1978, 2007",no
FAM0137,2,I Spit on Your Grave,"1978, 2010",no
FAM0138,2,Ice Castles,"1978, 2010",no
FAM0139,2,The Initiation of Sarah,"1978, 2006",no
FAM0140,3,Piranha | Piranha 3D,"1978, 1995, 2010",yes
FAM0141,2,The Toolbox Murders | Toolbox Murders,"1978, 2004",no
FAM0142,2,The Amityville Horror,"1979, 2005",no
FAM0143,2,Going in Style,"1979, 2017",no
FAM0144,2,The In-Laws,"1979, 2003",no
FAM0145,2,Jeene Nahi Doonga | Maula Jatt,"1979, 1984",yes
FAM0146,2,When a Stranger Calls,"1979, 2006",no
FAM0147,2,Anthropophagous 2000 | Antropophagus,"1980, 1999",yes
FAM0148,3,Billa,"1980, 2007, 2009",no
FAM0149,2,Diversion | Fatal Attraction,"1980, 1987",yes
FAM0150,2,Doraemon: Nobita's Dinosaur | Doraemon: Nobita's Dinosaur 2006,"1980, 2006",no
FAM0151,2,Fame,"1980, 2009",no
FAM0152,2,The Fog,"1980, 2005",no
FAM0153,2,Gloria,"1980, 1999",no
FAM0154,2,Humanoids from the Deep,"1980, 1996",no
FAM0155,2,Mother's Day,"1980, 2010",no
FAM0156,2,Prom Night,"1980, 2008",no
FAM0157,2,Resurrection,"1980, 1999",no
FAM0158,2,Arthur,"1981, 2011",no
FAM0159,2,Clash of the Titans,"1981, 2010",no
FAM0160,2,Evil Dead | The Evil Dead,"1981, 2013",no
FAM0161,2,Garde à Vue | Under Suspicion,"1981, 2000",yes
FAM0162,2,My Bloody Valentine | My Bloody Valentine 3D,"1981, 2009",no
FAM0163,3,Annie,"1982, 1999, 2014",no
FAM0164,2,Arth | Arth - The Destination,"1982, 2017",yes
FAM0165,2,Doraemon: New Nobita's Great Demon—Peko and the Exploration Party of Five | Doraemon: Nobita and the Haunts of Evil,"1982, 2014",yes
FAM0166,2,Le Père Noël est une ordure | Mixed Nuts,"1982, 1994",yes
FAM0167,2,Poltergeist,"1982, 2015",no
FAM0168,2,Down | The Lift,"1983, 2001",yes
FAM0169,2,Fathers' Day | Les Compères,"1983, 1997",yes
FAM0170,2,Naukar Biwi Ka | Naukar Vahuti Da,"1983, 2019",yes
FAM0171,2,Valley Girl,"1983, 2020",no
FAM0172,2,Doraemon: Nobita's Great Adventure into the Underworld | Doraemon: Nobita's New Great Adventure into the Underworld,"1984, 2007",no
FAM0173,2,Footloose,"1984, 2011",no
FAM0174,2,Frankenweenie,"1984, 2012",no
FAM0175,2,The Karate Kid,"1984, 2010",no
FAM0176,2,A Nightmare on Elm Street,"1984, 2010",no
FAM0177,2,Red Dawn,"1984, 2012",no
FAM0178,4,Babai Abbai | Mann | Nee Bareda Kadambari | Pyar Jhukta Nahin,"1985, 1999",yes
FAM0179,3,Day of the Dead | Day of the Dead: Bloodline,"1985, 2008, 2017",yes
FAM0180,2,Doraemon: Nobita's Little Star Wars | Doraemon: Nobita's Little Star Wars 2021,"1985, 2022",no
FAM0181,2,Fright Night,"1985, 2011",no
FAM0182,2,April Fool's Day,"1986, 2008",no
FAM0183,2,Doraemon: Nobita and the New Steel Troops—Winged Angels | Doraemon: Nobita and the Steel Troops,"1986, 2011",yes
FAM0184,4,Heat | L.A. Takedown | Wild Card,"1986, 1989, 1995, 2015",yes
FAM0185,2,The Hitcher,"1986, 2007",no
FAM0186,2,Les Fugitifs | Three Fugitives,"1986, 1989",yes
FAM0187,2,Adventures in Babysitting,"1987, 2016",no
FAM0188,2,Can’t Buy Me Love | Love Don't Cost a Thing,"1987, 2003",yes
FAM0189,2,City of Angels | Wings of Desire,"1987, 1998",yes
FAM0190,2,Paradise | The Grand Highway,"1987, 1991",yes
FAM0191,2,Overboard,"1987, 2018",no
FAM0192,2,RoboCop,"1987, 2014",no
FAM0193,2,The Stepfather,"1987, 2009",no
FAM0194,2,Child's Play,"1988, 2019",no
FAM0195,2,Night of the Demons,"1988, 2009",no
FAM0196,2,Shame,"1988, 1992",no
FAM0197,2,The Vanishing,"1988, 1993",no
FAM0198,2,The Firm,"1989, 2009",no
FAM0199,2,The Little Mermaid,"1989, 2023",no
FAM0200,2,Prancer | Prancer: A Christmas Tale,"1989, 2022",yes
FAM0201,2,Shiva,"1989, 1990",no
FAM0202,2,Agneepath,"1990, 2012",no
FAM0203,3,Black Cat | La Femme Nikita | Point of No Return,"1990, 1991, 1993",yes
FAM0204,2,Flatliners,"1990, 2017",no
FAM0205,2,Total Recall,"1990, 2012",no
FAM0206,2,Beauty and the Beast,"1991, 2017",no
FAM0207,2,La Totale! | True Lies,"1991, 1994",yes
FAM0208,2,My Father the Hero,"1991, 1994",no
FAM0209,2,Point Break,"1991, 2015",no
FAM0210,2,Aladdin,"1992, 2019",no
FAM0211,2,White Men Can't Jump,"1992, 2023",no
FAM0212,2,Head Above Water | Hodet over vannet,"1993, 1996",yes
FAM0213,2,Just Visiting | Les Visiteurs,"1993, 2001",yes
FAM0214,2,Eat Drink Man Woman | Tortilla Soup,"1994, 2001",yes
FAM0215,2,"EDtv | Louis 19, King of the Airwaves","1994, 1999",yes
FAM0216,2,Forrest Gump | Laal Singh Chaddha,"1994, 2022",yes
FAM0217,2,Jungle 2 Jungle | Un indien dans la ville,"1994, 1997",yes
FAM0218,2,The Lion King,"1994, 2019",no
FAM0219,2,Neuf mois | Nine Months,"1994, 1995",yes
FAM0220,2,Nightwatch,"1994, 1997",no
FAM0221,2,Arunachalam | Baasha,"1995, 1997",yes
FAM0222,2,Dredd | Judge Dredd,"1995, 2012",yes
FAM0223,2,The Apartment | Wicker Park,"1996, 2004",yes
FAM0224,2,Don't Look Up | Ghost Theater,"1996, 2015",yes
FAM0225,2,Shall We Dance?,"1996, 2004",no
FAM0226,2,Insomnia,"1997, 2002",no
FAM0227,2,My Father's Dragon,"1997, 2022",no
FAM0228,2,Open Your Eyes | Vanilla Sky,"1997, 2001",yes
FAM0229,2,Cats,"1998, 2019",no
FAM0230,2,Mulan,"1998, 2020",no
