Movie,Year,TMDB Link,Genre
Bad News Bears,2005,https://www.themoviedb.org/movie/13341,Comedy
Ball of Fire,1941,https://www.themoviedb.org/movie/29884,"Comedy, Romance, Crime"
Bangkok Dangerous,1999,https://www.themoviedb.org/movie/3173,"Thriller, Action, Crime"
Bangkok Dangerous,2008,https://www.themoviedb.org/movie/13184,"Action, Crime, Thriller"
Beautiful Accident,2017,https://www.themoviedb.org/movie/420635,"Comedy, Fantasy, Romance"
Beauty and the Beast,1991,https://www.themoviedb.org/movie/10020,"Romance, Family, Animation, Fantasy"
Beauty and the Beast,2017,https://www.themoviedb.org/movie/321612,"Family, Fantasy, Romance"
Bedazzled,1967,https://www.themoviedb.org/movie/18209,"Fantasy, Comedy, Romance"
Bedazzled,2000,https://www.themoviedb.org/movie/1636,"Fantasy, Comedy, Romance"
Bedtime Story,1964,https://www.themoviedb.org/movie/40618,Comedy
Behold My Wife!,1920,https://www.themoviedb.org/movie/1590176,Drama
Behold My Wife!,1934,https://www.themoviedb.org/movie/191610,"Drama, Romance"
Ben Hur,2003,https://www.themoviedb.org/movie/64609,"Family, Animation"
Ben-Hur,1959,https://www.themoviedb.org/movie/665,"History, Drama, Adventure"
Ben-Hur,2016,https://www.themoviedb.org/movie/271969,"Action, History, Adventure, Drama"
Ben-Hur: A Tale of the Christ,1925,https://www.themoviedb.org/movie/31510,"Adventure, Drama, Romance"
Beyond a Reasonable Doubt,1956,https://www.themoviedb.org/movie/20330,"Crime, Drama"
Beyond a Reasonable Doubt,2009,https://www.themoviedb.org/movie/25137,Thriller
Big Deal on Madonna Street,1958,https://www.themoviedb.org/movie/24382,"Comedy, Crime"
Billa,2007,https://www.themoviedb.org/movie/23767,"Action, Thriller"
Billa,2009,https://www.themoviedb.org/movie/23766,"Comedy, Drama"
Billu Barber,2009,https://www.themoviedb.org/movie/16345,"Comedy, Drama"
Billy Jack Goes to Washington,1977,https://www.themoviedb.org/movie/78140,Drama
